id,name,number_of_ingredients,ingredient_1,ingredient_oz_1,ingredient_2,ingredient_oz_2,ingredient_3,ingredient_oz_3,ingredient_4,ingredient_oz_4,ice,garnish,image_url
1,Margarita,2,tequila,2,lime_juice,1,,,,,yes,yes,margarita.png
2,Tequila Sunrise,3,tequila,2,orange_juice,3.5,grenadine,0.5,,,yes,no,tequila_sunrise.png
3,Cosmopolitan,3,vodka,2,lime_juice,0.5,cranberry_juice,1.5,,,yes,yes,cosmopolitan.png
4,BarBot Margarita,3,tequila,2,lime_juice,1,blue_curacao,1,,,yes,yes,blue_margarita.png
5,Screwdriver,2,vodka,2,orange_juice,4,,,,,yes,no,screwdriver.png
6,Harpoon,4,vodka,1.5,lime_juice,0.5,cranberry_juice,1,orange_juice,0.5,yes,yes,harpoon.png
7,Cape Codder,3,vodka,2,cranberry_juice,3,lime_juice,0.5,,,yes,yes,cape_codder.png
8,Kamikaze,3,vodka,2,lime_juice,2,orange_juice,1,,,yes,yes,kamikaze.png
9,Orange Margarita,4,tequila,1,orange_juice,4,lime_juice,0.5,grenadine,0.5,yes,yes,orange_margarita.png
10,Vodka Gimlet,2,vodka,2,lime_juice,2,,,,,yes,yes,gimletdriver.png
11,Sweet Red Kisses,3,vodka,3,cranberry_juice,1,grenadine,1.5,,,yes,no,naked_cosmo.png
12,Barbot Martini,4,vodka,2,blue_curacao,0.5,cranberry_juice,1,lime_juice,0.5,yes,yes,cocktail_blue.png
13,Death at Sunset,3,vodka,2,orange_juice,3.5,grenadine,0.5,,,yes,no,death_at_sunset.png
14,Fire Engine,3,vodka,2,orange_juice,3,grenadine,1,,,yes,no,fire_engine.png
15,Fucktini,3,vodka,3,lime_juice,1.5,cranberry_juice,3,,,yes,yes,fucktini.png
16,Batman #2,2,orange_juice,6,grenadine,0.5,,,,,yes,no,tequila_sunrise.png
17,Long Cosmopolitan,3,vodka,1.5,cranberry_juice,3,orange_juice,3,,,yes,no,cosmopolitan.png
18,Madras,3,vodka,1.5,orange_juice,0.5,cranberry_juice,0.5,,,yes,no,husker.png
19,Bloody Nightmare,3,vodka,1,lime_juice,2,cranberry_juice,5,,,yes,yes,cranberry_vodka.png
20,Husker Blackout Shot,3,vodka,1,tequila,1,grenadine,0.5,,,yes,no,husker.png
21,Dee-twisted,4,vodka,2,lime_juice,1,orange_juice,0.5,cranberry_juice,2.5,yes,yes,harpoon.png
22,Frozen Sunset,3,tequila,2,grenadine,1,lime_juice,1,,,yes,yes,death_at_sunset.png
23,Green Goblin,3,vodka,1.5,orange_juice,2,blue_curacao,1.5,,,yes,no,green.png
24,The Banner Roar,2,blue_curacao,2,orange_juice,1.5,,,,,yes,no,sex_in_post.png
25,Mexican's Revenge,3,tequila,1,lime_juice,1.5,cranberry_juice,4.5,,,yes,yes,mexican_revenge.png
26,Blaster Bates,4,vodka,1.5,blue_curacao,1.5,lime_juice,1.5,grenadine,1.5,yes,yes,green.png
27,Fantasy Martini,4,vodka,1.5,lime_juice,0.5,cranberry_juice,0.5,blue_curacao,0.5,yes,yes,blue_shark.png
28,Creepy Crawler,2,vodka,2,blue_curacao,2,,,,,yes,no,green.png
29,LAPD Night Shift,3,tequila,2,grenadine,2,blue_curacao,2,,,yes,no,lapd.png
30,Sex In the Post Office,3,vodka,1.5,blue_curacao,1.5,orange_juice,0.5,,,yes,no,sex_in_post.png
31,Cranberry Vodka,2,vodka,2,cranberry_juice,4,,,,,yes,no,cranberry_vodka.png
32,Nuffel,3,vodka,1,cranberry_juice,4,blue_curacao,1,,,yes,no,nuffel.png
33,Fog,2,vodka,2,lime_juice,2,,,,,yes,yes,fog.png
34,Orange Splash,3,vodka,2,orange_juice,3,lime_juice,1,,,yes,yes,orange_splash.png
35,Sea Volcano,4,tequila,1.5,grenadine,1,orange_juice,1,blue_curacao,1.5,yes,yes,sea_volcano.png
36,Agent Orange,2,vodka,1.5,orange_juice,3,,,,,yes,no,agent_orange.png
37,Kamikaze Blue,3,vodka,1,lime_juice,1,blue_curacao,1,,,yes,yes,blue_kamikaze.png
38,Double Screw,2,vodka,3,orange_juice,3,,,,,yes,no,screwdriver.png
39,Naked Cosmo,4,vodka,1.5,grenadine,1.5,lime_juice,1.5,simple_syrup,1,yes,yes,naked_cosmo.png
40,Blue Shark,3,vodka,1,tequila,1,blue_curacao,1,,,yes,no,blue_shark.png
